Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
Mác kéo,Ficus gasparriniana Miq. – F. leekensis Drake,0,Moraceae,Suy nhược trẻ em (Rễ sắc uống).,"Hà Nội, Hòa Bình, Ninh Bình, Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng thứ sinh, nơi sáng, ở độ cao tới 1500 m.",9-10 
Bối mẫu lan,Coelogyne fimbriata Lindl.,0,Lan (Orchidaceae),"Chữa ho, ho ra máu (Thân)","Lâm Đồng, Vĩnh Phúc (Tam Đảo). Cây mọc tự nhiên rải rác trong rừng thưa, ở độ cao 500-1.400 m",0
"Rong hồng vân, Rong đỏ",Eucheuma gelatinae (Esp.) Agardh,0,Solieriaceae,"Thuốc thanh nhiệt phế lộ, âm hư, trĩ ra máu (cả cây).","Khánh Hoà, Ninh Thuận. Cây mọc bám trên đá san hô chết, nơi cớ sóng, nước trong, ở độ sâu 1 – 3m",0
Xạ tử thụ,Sporobolus indicus (L.) R. Br. – Sporobolus fertilis (Steud.) Clayton,0,Poaceae,Đau bụng đi ngoài (Hoa).,Miền Nam. Cây mọc tự nhiên ở ven đường.,I-XII 
Đại diệp thanhTên tiếng Việt: Thạch nam,Photinia davidsoniae Rehd. et Wils.,0,Hoa Hồng (Rosaceae),"Chữa mụn nhọt lở ngứa, sưng đau (Lá).","Quảng Ninh, Bắc Giang, Vĩnh Phúc, Nghệ An. Cây mọc tự nhiên rải rác trong rừng, độ cao 400 -500m.",IV – V; 7 – 10.
Thư diệp lá hình tim,Adenia cordifolia (Blume) Engl.( Modecca cordifolia Blume).,0,Lạc tiên – Passifloraceae,"Chữa ho hen, phong tê thấp, đau nhức xương, chữa bụng trướng, lỵ (thân rễ), chữa phong nhiệt đau xương (rễ);chữa đau dạ dày, đường ruột (cả cây).","Phú Thọ (Phù Ninh), Hòa Bình (Kim Bôi, Lạc Thủy, Tân Lạc), An Giang (Châu Đốc",0
"Ngọc nữ đỏ Mò đỏ, Bấn đỏ, Vậy đỏ, Lẹo cái",Clerodendrum paniculatum L.,0,Verbenaceae,"Cả cây chữa lậu, bạch đới khí hư, đái buốt, đái dắt, vàng da, tê thấp, kinh nguyệt không đều, chứng sài ở trẻ em.","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Kon Tum, Đắk Lắk. Cây mọc tự nhiên trên các bãi hoang, ven đường, ở độ cao tới 1.600 m.",IV-XII
Qua lâu trứng,Trichosanthes ovigera Blume,0,Cucurbitaceae,"Đau dạ dày, rắn cắn, mụn nhọt (Rễ). Táo bón, ho (Hạt).","Lào Cai, Hoà Bình, Gia Lai, Lâm Đồng. Cây mọc trong rừng thứ sin",0
"Dầu lai, Dầu mè tía",Jatropha gossypiifolia L.,0,Thầu dầu (Euphorbiaceae),"Chữa ghẻ lở (Dầu hạt bôi). Mụn nhọt, Eczema (Lá). Điều kinh (Vỏ).","Cây nhậptrồng, nay trở nên hoang hoá khá phổ biến ở các vùng trung du phía bắc Việt Nam.",III-V; 5-10
Cỏ chét ba,Potentilla sundaica (Blume) Kuntze – Potentilla kleiniana Wight,0,Rosaceae.,"Chữa cảm, trẻ em kinh phong, sưng họng,ho, ho gà, mụn nhọt, lở ngứa, đòn ngã tổn thương. (cả cây).","Lai Châu, Lào Cai, Hà Giang, Cao Bằng, Hà Nội ( Ba Vì). Cây mọc tự nhiên ở ven rừng, bãi ven sông, ven đường, ở độ cao 500 – 1200m.",Gần như quanh năm.
"Củ chóc.Tên gọi khác: Bán hạ nam, Bán hạ lá ba thuỳ, Phiắc héo (Tày)",Typhonium trilobatum (L.) Schott – Arum trilobatum L.,0,Họ Ráy (Araceae),"Chống nôn, chữa nôn mửa ở phụ nữ có thai, nôn do viêm dạ dày mạn tính, ho, hen suyễn, long đờm. Còn dùng chữa họng viêm có mủ, đau đầu hoa mắt, ngực chướng đầy. Ở Ấn Độ, còn dùng để chữa trĩ, dùng ăn với chuối chữa đau dạ dày và đắp ngoài chữa rắn độc cắn. Chú ý: Cây có độc, khi dùng phải cẩn thận.","Hoà Bình, Ninh Bình, Thanh Hoá, Nghệ An. Cây mọc tự nhiên ven sông suối, bãi hoang ẩm.",V-VII
"Ngọc lan ta, Kim cương mộc, Cây sứ, Ngọc lan hoa trắng",Michelia alba DC.,0,Magnoliaceae,"Đau bụng, kinh nguyệt không đều, nôn, sốt, lợi sữa, giảm đau (Vỏ sắc uống). Sưng tấy (Lá giã đắp). Hoa còn chữa ho gà, viêm phế quản, đau ngực, viêm tiền liệt tuyến, bạch đới, khí hư.",Cây trồng làm cảnh và lấy hoa ở các vườn hoa và trong gia đình ở nhiều địa phương của Việt Nam.,IV-IX
Tai tượng bông ngắn,Acalypha brachystachya Hornem.,0,Thầu dầu – Euphorbiaceae,Chữa bệnh lỵ (cả cây).,"Hòa Bình, Hà Nội (Thủ Pháp), Hà Nam, Ninh Bình, Quảng Bình, Quảng Trị, Thừa Thiên Huế, Tp. Hồ Chí Minh.",Tháng 6.
"Bông bạc, Bạc đầu đỏ, Bạch đầu đại mộc",Vernonia arborea Buch.-Ham. ex D. Don,0,Asteraceae,Kích thích tiêu hoá (Lá). Chữa sốt (Rễ).,"Lào Cai (Bắc Hà), Hà Giang (Quản Bạ). Cây mọc tự nhiên trong rừng thưa, rừng sau nương rẫy ở độ cao dưới 1200 m.",X-XII
"Tạo giác, Bồ kết",Gleditsia fera (Lour.) Merr. – Mimosa fera Lour.,0,Caesalpiniaceae,Nước sắc của lá dùng làm thuốc xổ. Cơm bao quanh hạt cũng được dùng làm thuốc.,"Tuyên Quang, Ninh Thuận, thành phố Hồ Chí Minh. Cây mọc tự nhiên trong rừng thứ sinh, ở độ cao dưới 1000 m.",IV-VI; 6-12
Da đầu đốmTên tiếng Việt: Hoàng tinh đốm. Hoàng tinh phụ sinh.,Polygonatum punctatum Royle,0,Mạch môn (Convallariaceae),Dùng như Hoàng tinh hoa trắng.,"Lào Cai (SaPa), Yên Bái, KonTum (ĐacGlây), Lâm Đồng. Cây mọc tự nhiên ở vùng núi cao miền Bắc.",III-IX
Mạc ca răng,Allophylus serrulatus Radlk.,0,Sapindaceae,"Ỉa chảy (Rễ). Ở Campuchia, rễ dùng hãm uống khai vị.",Lâm Đồng (Đà Lạt). Cây mọc tự nhiên.,X 
"Huyết dụ lá to, Huyết dụ đỏ",Cordyline fruticosa (L.) Goepp. var. tricolor Hort.,0,Asteliaceae,Dùng như Huyết dụ.,Cây trồng làm cảnh,0
Bấn tràng,Hemidesmus indicus (Willd.) R. Br. – Periploca indica Willd.,0,Asclepiadaceae,"Lợi tiểu, lọc máu, đau mắt, bạch đới khí hư (cả cây).",Cây mọc tự nhiên,0
Bạch truật,Atractylodes macrocephala Koidz.,0,Asteraceae,"Sốt, phù thũng, viêm ruột mãn tính, viêm dạ dày, bổ gan, ho, đái tháo đường, suy nhược cơ thể, suy tỳ bị trướng, tiêu hoá kém, bụng trướng, phụ nữ huyết suy, sốt rét mạn tính, viêm loét dạ dày, viêm ruột, ốm nghén, có thai đau bụng (Thân rễ).",Cây nhập trồng.,VIII; 10-12
Song nha chẻ ba,Bidens tripartita L.,0,Asteraceae,"Lao thương, đau ruột, kinh nguyệt không đều, phong thấp, ngộ độc, trẻ con bị cam tích; dùng ngoài chữa rắn cắn (cả cây).","Cây mọc tự nhiên ở trên đất ẩm lầy vùng núi các tỉnh phía Bắc, ở độ cao 400- 1600 m.",IX
Dum bầu dục,Rubus pinfaensis Le’vl. et Vant.,0,Hoa hồng (Rosaceae),Chữa đau răng (Vỏ).,"Cao Bằng, Lạng Sơn, Lào Cai. Cây mọc tự nhiên ở ven rừng, ở độ cao 1000 – 2000m.",III – IV; 5 – 7.
"Móc ó, Vang gai, Vang rừng",Caesalpinia godefroyana Kuntze,0,Caesalpiniaceae,Đau gan (Cả cây nấu tắm). U tử cung (Rễ).,"Khánh Hòa, Ninh Thuận, Bình Thuận, Đồng Nai, Bà Rịa Vũng Tàu. Cây mọc tự nhiên trên đất khô cằn, đất nhiều cát ven biển, ở độ cao tới 800 m.",IX-IV
Vả,Ficus auriculata Lour.,0,Moraceae,"Giải nhiệt, giun, nhuận tràng, trĩ (Quả).","Cây mọc tự nhiên trên đất ẩm vùng rừng núi, còn được trồng.",12-3 
"Đơn lá nhọn, Trang chót buồm",Ixora cuneifolia Roxb. var. varians Pierre ex Pitard,0,Rubiaceae,"Chữa sốt (Hoa). Nhọt, bệnh ápxe, mụn nhọt và dịch hạch (Rễ giã đắp).","Khánh Hòa, Đồng Nai, Bà Rịa Vũng Tàu. Cây mọc tự nhiên rải rác trong rừng thưa.",XII
Lục lạc trắng,Crotalaria albida Heyne ex Roth,0,Fabaceae,"Điều kinh, chữa lỵ, viêm niệu đạo, viêm bàng quang, viêm gan, viêm dạ dày, viêm phổi, sốt rét (Hạt).","Cao Bằng, Lạng Sơn, Kon Tum, Lâm Đồng đến Sông Bé. Cây mọc tự nhiên ở rừng thưa, rừng nửa rụng lá đến 1500m.",VII-XII
Lãnh công màu nhung,Fissistigma cupreonitens Merr. et Chun,0,Na (Annonaceae,0,0,0
"Rếp, Thuỷ giả, Cỏ hoa tre, Trấu thảo",Apluda mutica L.,0,Poaceae,"Rắn cắn, lở loét (Thân, lá).","Lạng Sơn, Thanh Hóa, Thừa Thiên Huế. Cây mọc tự nhiên ở lùm bụi, vườn khắp nơi.",VII-X
Dót,Ehretia asperula Zoll. & Mor. – E. hanceana Hemsl.,0,òi voi (Boraginaceae),"Cây được dùng chữa u bướu, ung nhọt (Lá).","Quảng Ninh (Vịnh Hạ Long), Hoà Bình (Mai Châu), Thanh Hoá (Ngọc Lặc), Nghệ An (Con Cuông)",V-VIII; 7-11
Bằng phi,Pemphis acidula Forst. & Forst.f.,0,Lythraceae,Chữa ỉa chảy (Vỏ).,"Quảng Bình, Quảng Trị, Thừa Thiên Huế, Kiên Giang. Cây mọc tự nhiên rải rác ở vùng ven biển",0
"Mồng gà, Đầu gà.",Ellipanthus tomentosus Kurz,0,Connaraceae,"Ở Thái Lan, cành được dùng chữa đầy hơi, giúp ăn ngon miệng và chống co thắt bụng; cùng với các loài cây khác dùng chữa hen. Nước sắc của vỏ và gỗ dùng chữa chức năng thận yếu","Quảng Trị (Lao Bảo), Ninh Thuận (Cà Ná), Tây Ninh, Đồng Nai, Biên Hoà. Cây mọc tự nhiên trong rừng nguyên sinh hoặc rừng thứ sinh",0
Ngâu nhót,"Aglaia elaeagnoidea (A. Juss.) Benth. (Nemedra elaeagnoidea A. Juss., Milnea roxburghiama Wight & Arn., Amoora poulocondorensis (Pell.) Harms in Engl.)",0,Xoan – Meliaceae,"Chữa viêm, phong hủi (quả).","Hòa Bình, Hà Nội, Nghệ An, Hà Tĩnh, Thừa Thiên Huế (Bạch Mã), Kon Tum (Kon Plông, Măng Cành), Đắk Nông (Đắk Mil, Nam Đà), Lâm Đồng (Di Linh, Bảo Lộc, Đồng Nai (Biên Hòa, Bảo Chánh, Chứa Chan, Trảng Bom), Tp. Hồ Chí Minh (Thủ Đức), Bà Rịa-Vũng Tàu (Côn Đảo), Kiên Giang (Phú Quốc).","Hoa tháng 6 – 7, quả tháng 1 – 2 năm sau.Công dụng: Chữa viêm, phong hủi (quả)."
"Sau sau lá lê, Thau",Semiliquidamba cathayensis H.T. Chang,0,Altingiaceae,"Rễ chữa bệnh huyết áp cao, ho, hen suyễn, các bệnh về gan, thận. Quả hãm nước uống để chữa sốt.","Sơn La (Mộc Châu), Lạng Sơn(Tràng Định). Cây mọc tự nhiên rải rác trong rừng, ở độ cao 250-1200m",0
Bồ quả quăn.Tên gọi khác: Lá men.,Uvaria calamistrata Hance,0,Annonaceae,"Chữa nhức mỏi chân tay, cảm cúm (Rễ, thân).","Sơn La, Lạng Sơn, Quảng Ninh,. Cây mọc rải rác ở ven rừng, nơi sáng",III-IV; 5-6
Ngái vàng,Ficus fulva Reinw. ex Blume,0,Moraceae,"Phong thấp, trĩ, phù thũng, ỉa chảy, sa tử cung (Rễ).",Vùng trung du. Cây mọc tự nhiên.,1-3
Lâm phát,Woodfordia fruticosa (L.) Kurz – Lythrum fruticosum L.,0,Lythraceae,"Lỵ, trĩ, rong kinh, băng huyết, ho ra máu, rối loạn chức năng gan (Rễ, hoa).","Lào Cai, Lâm Đồng, Đồng Nai. Cây mọc tự nhiên rải rác ven sông suối.",0
Cuông tạoTên tiếng Việt: Cuồng nguyễn tạo,Aralia nguyentaoi Ha,0,Họ Nhân sâm (Araliaceae),"Chữa viêm hầu, họng (Rễ).","Phú Thọ, Vĩnh Phúc (Tam Đảo), Nghệ An (Nghi Xuân, Xuân Hồng). Cây mọc tự nhiên rải rác trong rừng, ở độ cao 900 m.",VIII-XII
"Hài nhi cúc, Nhả rọi khuyết",Kalimeris indica (L.) Sch.-Bip. – Aster indicus L.,0,Asteraceae,"Thuốc cầm máu, chữa chảy máu mũi, chảy máu chân răng; viêm gan cấp tính, viêm tuyến vú, tiêm tai ngoài; trẻ em kinh phong sốt cao; đòn ngã nội thương phát nóng, ho miệng khát, viêm tinh hoàn cấp tính. Còn dùng chữa sốt, đau dạ dày (cả cây sắc uống).",Cây mọc tự nhiên,0
Dây xanh nhọn,Tiliacora acuminata (Lam.) Miers – Menispermum acuminatum Lam.,0,Tiết Dê (Menispermaceae),Rễ mài lấy nước uống chữa rắn độc cắn.,"Thừa Thiên Huế (Bạch Mã), Kiên Giang (đảo Phú Quốc). Dây leo to, mọc rải rác trong rừng.",III-VI
"Quy biền, Cui biển",Heritiera littoralis Dryand. ,0,Sterculiaceae,"ỉa chảy, lỵ (Nước sắc quả). Thấp khớp (Rễ). Táo bón (Lá).","Cây mọc tự nhiên ở các rừng ngập mặn, còn được trồng khá phổ biến ở dọc bở biển từ Bắc vào Nam Việt Nam.","V-VII, 6-8"
"Rêu vảy, Lân diệp đài",Taxiphyllum taxirameum (Mitt.) M. Fleisch.,0,Hypnaceae,Chữa ngoại thương xuất huyết (cả cây).,Ninh Bình (Cúc Phương). Cây mọc tự nhiên trên đá,0
Dây vác,"Tetrastigma coriaceum (DC.) Gagnep. – Tetrastigma tuberculatum (Blume) N.H. Hien, Tetrastigma harmandii Planch.",0,Họ Nho (Vitaceae),Chữa rắn cắn (Lá).,"Quảng Nam, Đà Nẵng, Quảng Bình, Quảng Trị, Thừa Thiên Huế, Kon Tum, Đắc Lắc, Lâm Đồng. Cây mọc tự nhiên dưới tán rừng ẩm.",III-XII
"Giâu gia, Mạy fầy (Tày)",Baccaurea ramiflora Lour.,0,Euphorbiaceae,"Chữa sưng tấy, mụn nhọt, lở loét, dị ứng (Lá giã trộn dấm bôi).","Cây mọc tự nhiên dưới tán rừng dọc theo khe suối, trên đất laterit, ở độ cao 100-1.300 m, phổ biến ở khắp Việt Nam. Còn được trồng để lấy quả ăn.",V – X
"Quế lợn, Quế hương, Quế rừng",Cinnamomum bejolghota (Buch.-Ham. ex Nees) Sweet – Laurus bejolghota Buch.-Ham. ex Nees,0,Lauraceae.,"Đau bụng, cảm lạnh, đau bụng kinh, phong thấp, đòn ngã tổn thương, bế kinh.","Hà Giang (Vị Xuyên), Lạng Sơn (Hữu Lũng), Bắc Kạn, Bình Dương (Thủ Dầu Một). Cây mọc tự nhiên trong rừng thường xanh núi đất hoặc núi đá, ở độ cao 500-800 m.",III-IV; 5-9
Lục lạc trung quốc,Crotalaria chinensis L.,0,Fabaceae,"Rắn, chó dại cắn (cả cây).","Cây mọc tự nhiên dọc đường, trong rừng thưa, rừng thông, rừng thay lá, phổ biến ở nước ta",0
"Ổi, Phan thạch lựu, Co ổi (Thái), Mác ổi (Tày), Mù úi piếu (Dao)",Psidium guajava L.,0,Myrtaceae,"Chữa viêm ruột cấp, ỉa chảy, kiết lỵ, trẻ em ăn uống không tiêu (Lá, búp non sắc uống). Rửa vết lở loét (Búp non hoặc vỏ rộp). Lá non còn được dùng chữa bệnh zona.",Cây trồng.,I-XII
Trâm sơ ri,Eugenia uniflora L.,0,Myrtaceae,"Kích thích tiêu hoá, hạ sốt (Lá). Giảm huyết áp (Quả).",Thừa Thiên Huế. Cây nhập trồng.,III-IV 
Kim ngân mốc,Lonicera hypoglauca Miq.,0,Caprifoliaceae,"Nụ hoa chữa viêm nhiễm đường hô hấp trên, cảm cúm truyền nhiễm, sưng amygdal, viêm tuyến vú cấp tính, viêm kết mạc, lỵ trực khuẩn, viêm ruột thừa, mụn nhọt lở ngứa, loét cổ tử cung.","Bắc Kạn, Thái Nguyên, Phú Thọ, Hà Nội, Ninh Bình, Kon Tum. Cây mọc tự nhiên nơi ẩm ở ven rừng gần sông suối.",III-V
"Xống rắn, Xương rắn, Mắt mèo gai, Cam thảo dây, Cam thảo rừng",Acacia pennata (L.) Willd. ssp. hainanensis (Hayata) I. Nielsen,0,Mimosaceae,Sưng dái trẻ em (cả cây sắc uống).,"Sơn La (Mộc Châu), Tuyên Quang, Thái Nguyên, Đà Nẵng, Kon Tum. Cây mọc tự nhiên trong rừng rậm tái sinh, ở độ cao tới 1200 m.",IV-XI
"Khảo quang, Hoắc quang, Mo kheo",Wendlandia tinctoria (Roxb.) DC. – Rondeletia tinctoria Roxb.,0,Rubiaceae,"Chữa đái vàng, đái mủ trắng, tê thấp, ăn uống không tiêu (Vỏ cây).","Lào Cai (Sa Pa), Thái Nguyên, Vĩnh Phúc (Tam Đảo). Cây mọc tự nhiên trong rừng thứ sinh ẩm vùng núi miền bắc nước ta.","II-III, 6-8 "
"Trà đuôi, Chè đuôi, Vĩ diệp sơn trà",Camellia caudata Wall.,0,Theaceae,Lở loét (Lá sắc đặc rửa).,"Quảng Bình, Quảng Trị, Thừa Thiên Huế, Bình Thuận. Cây mọc tự nhiên trên núi đá vôi.","IV-IX, 11 "
"Cù đèn khai.Tên gọi khác: Vọng, Ba đậu lá thuôn, Khai đen",Croton joufra Roxb.,0,Họ thực vật: thầu dầu (Euphorbiaceae),Dùng như Cù đèn.,"Hòa Bình, Đà Nẵng. Cây ưa sáng, mọc tự nhiên trong rừng thưa, trên núi đá vôi, ở độ cao 100-900 m",0
Đào tiên,Crescentia cujete L.,0,Núc Nác(Bignoniaceae) ,"Cơm quả làm thuốc khai vị, chế siro chữa ho, long đờm; còn làm thuốc nhuận tràng. Nước sắc vỏ rễ dùng để rửa vết thương. Lá làm thuốc chữa chứng đau đầu.",Cây trồng ở các tỉnh từ miền Trung trở vào.,III-X
"Băng dính, Song biển Nees",Asystasiella neesiana (Wall.) Lindau,0,Acanthaceae,"Cầm máu, bệnh ngoài da (Lá).","Đà Nẵng, Nam Bộ. Cây mọc tự nhiên; còn được trồng làm cảnh",0
"Ké rừngTên tiếng Việt:  Hoàng tiên, Xà bà",Waltheria americana L.,0,Trôm (Sterculiaceae),"Chữa mụn nhọt, ỉa chảy, viêm tuyến vú, hạ sốt (cả cây).","Cây mọc tự nhiên trên đất hoang khô, phổ biến ở các tỉnh Miền Trung và nhiều tỉnh của Việt Nam.",XI-VI
"Sòi lá tròn, Sòi bòng",Sapium rotundifolium Hemsl.,0,Euphorbiaceae,"Rắn cắn, mụn lở, nấm da (Lá).","Cây mọc rải rác ở những bãi trống, trong các rừng thứ sinh từ Lạng Sơn đến Thanh Hóa",0
"Sâm vầy nưa, Tỏi đá, Tỏi rừng",Aspidistra typica Baill.,0,Convallariaceae,"Thân rễ có tác dụng hoạt huyết, tán ứ, liền xương, giảm đau, thanh nhiệt, giải độc.","Hoà Bình, Sơn La, Lao Cai. Cây mọc trong rừng ẩm.",II-VII
"Cô tòng đuôi lươnTên tiếng Việt: Đuôi lươn, Ngũ sắc",Codiaeum variegatum (L.) Blume – Croton variegatum L.,0,thầu dầu (Euphorbiaceae),Bó gãy xương (Lá tươi giã đắp).,"Cây trồng làm cảnh phổ biến ở các công viên, vườn hoa trong các thành phố, thị xã của Việt Nam.",V-VIII
"Mộc tỉnh, Dây bói cá",Urceola minutiflora (Pierre) Mabb. – Xylinabaria minutiflora Pierre,0,Apocynaceae,Kiết lỵ (Vỏ).,Kiên Giang. Cây mọc tự nhiên.,V 
"Lim, Lim xanh",Erythrophloeum fordii Oliv.,0,Caesalpiniaceae,Bệnh ngoài da (Vỏ).,"Tuyên Quang, Lạng Sơn, Quảng Ninh, Thái Nguyên, Ninh Bình, Thanh Hoá, Nghệ An, Quảng Bình, Quảng Trị, Lâm Đồng. Cây thường được trồng.",V-VI; 7-11 
Cúc gai,Silybum marianum (L.) Gaertn. – Carduus marianus L.,0,Cúc (Asteraceae),"Chữa viêm gan, lách, sỏi mật, hoàng đản (Quả). Toàn cây chữa thũng ngứa, mụn nhọt sưng đau.",Cây nhập trồng.,X-XII
"Cà dại hoa trắng, Cà Hoang, Cà dữ, Cà gai Hoa trắng, Mác rịa, Phạ phước (Tày), Hìa kía pẹ (Dao)",Solanum torvum Sw.,0,Cà (Solanaceae),"Chữa nứt nẻ ở bàn chân, kẽ chân, đau răng, đau vùng thắt lưng, đau dạ dày, bế kinh, sâu bọ đốt (Rễ, quả giã bôi). Còn chữa đòn ngã tổn thương.","Cây mọc tự nhiên trên các bãi hoang, ven đường, ven rừng, khá phổ biến ở Việt Nam.",IV-VII
Chân chim sao nhỏ,Schefﬂera minutistellata Merr. ex H.L. Li,0,Araliaceae.,Dùng như Chân chim.,"Hà Giang (Phó Bảng), Cao Bằng (Đèo Lê A). Cây mọc tự nhiên trong rừng, ở độ cao 1000-1200 m.",VIII-IX; 10-12
"Thóc lép, Bài ngài, Cỏ cháy",Desmodium gangeticum (L.) DC. – Hedysarum gangeticum L.,0,Fabaceae,"Sỏi thận, mật (Rễ sắc uống). Rắn cắn (cả cây giã nước uống, bã đắp). Còn dùng làm thuốc giải nhiệt, chữa khô cổ, ỉa chảy, phù thũng.","Cây mọc tự nhiên ở các bãi cỏ, ven đường đi từ Bắc tới Nam","IV-VIII, 10-11"
Giáng hương quả to,Pterocarpus macrocarpus Kurz,0,Fabaceae,Nhựa cây dùng để trám răng. Rễ làm thuốc điều kinh.,"Hà Nội (trồng), Nghệ An, Quảng Trị, Kon Tum, Gia Lai, Đắk Lắk, Khánh Hoà. Cây gỗ, ưa sáng, mọc tự nhiên trong rừng rậm rụng lá hay rừng thưa, ở độ cao tới 700 m. Loài đã được đưa vào Sách Đỏ VIệt Nam.",II-III; 7-12
